feature,gradient_boosting_importance,random_forest_importance,gb_rank,rf_rank
study_hours,0.3743761445199465,0.21499420406454897,1,1
science_score,0.1986323653322074,0.17662170372413372,2,3
english_score,0.17962071084082595,0.17555120235586197,3,4
math_score,0.17661241574171205,0.1770549872207165,4,2
attendance_percentage,0.06385409194606258,0.10161271756243258,5,5
parent_education,0.0014724437310778494,0.027353980625565225,6,7
age,0.0011043654243227854,0.027801216958045695,7,6
travel_time,0.000737889659941309,0.020993349030970096,8,8
extra_activities,0.0006170443470856066,0.010194678067351347,9,10
internet_access,0.000502639263815855,0.007074508882788813,10,13
study_method_mixed,0.0004055510400933884,0.006769763805244888,11,15
study_method_group_study,0.0003691914211059007,0.006413392701121274,12,17
study_method_notes,0.0003180950092139171,0.006299864231175271,13,18
gender_male,0.000315365834770667,0.008712303662317863,14,11
study_method_online_videos,0.0002783378419902149,0.006872058351841927,15,14
school_type_private,0.00027768243989364247,0.010346699126391648,16,9
gender_female,0.00027123055703163313,0.008576445879621608,17,12
study_method_coaching,0.0002344350489028956,0.006756923749870769,18,16
