Feature,Importance
study_hours,0.25819437263179384
science_score,0.19159861639447182
english_score,0.18928058953782853
math_score,0.18551358580877148
attendance_percentage,0.08295251739237498
age,0.01683824289192307
parent_education,0.016791492786454452
travel_time,0.01254241156455985
extra_activities,0.0057239423657775715
school_type_private,0.005403545699204608
gender_female,0.005096198350134928
gender_male,0.005060506968632955
study_method_coaching,0.00437018384674561
study_method_group_study,0.004314299501219115
study_method_mixed,0.004310393836999973
study_method_online_videos,0.004081050855407658
internet_access,0.003981296319883322
study_method_notes,0.003946753247816075
