model,fold,accuracy,macro_f1
Logistic Regression,1,0.758,0.7516
Logistic Regression,2,0.7527,0.7427
Logistic Regression,3,0.7633,0.7522
Logistic Regression,4,0.7477,0.7402
Logistic Regression,5,0.7517,0.7455
Logistic Regression,mean,0.7547,0.7464
Logistic Regression,std,0.0054,0.0047
Decision Tree,1,0.6683,0.6548
Decision Tree,2,0.6727,0.6631
Decision Tree,3,0.6647,0.6423
Decision Tree,4,0.648,0.633
Decision Tree,5,0.662,0.6469
Decision Tree,mean,0.6631,0.648
Decision Tree,std,0.0084,0.0103
Random Forest,1,0.7497,0.7418
Random Forest,2,0.7593,0.7473
Random Forest,3,0.763,0.7462
Random Forest,4,0.7487,0.7397
Random Forest,5,0.756,0.7499
Random Forest,mean,0.7553,0.745
Random Forest,std,0.0055,0.0037
Gradient Boosting,1,0.7437,0.7345
Gradient Boosting,2,0.7497,0.7362
Gradient Boosting,3,0.7503,0.7338
Gradient Boosting,4,0.7427,0.7318
Gradient Boosting,5,0.756,0.7517
Gradient Boosting,mean,0.7485,0.7376
Gradient Boosting,std,0.0049,0.0072
